evaluations raw_y x0 x1
4 3539535.4642766332 -1.299076 4.941635
8 247679.3193743568 2.085836 3.504029
30 245406.8783698379 3.860200 2.506349
32 49249.6464566028 0.228318 2.786397
91 7191.6146561767 -1.285700 3.092363
170 1685.9235298282 -4.041568 2.968910
262 1179.5024416034 4.692004 2.975213
280 230.6983342256 -2.913428 3.022527
361 161.5757739516 3.021534 3.018129
384 21.4211533635 -0.477861 3.010841
614 2.6634076891 -2.309771 3.005925
1000 2586072.4189941711 1.124950 1.533308
evaluations raw_y x0 x1
1 48781210.6913497150 -2.868681 3.374911
2 35527862.7424503490 -4.965374 2.585819
3 465426.5059082625 -2.292164 -2.700758
8 395910.2387309191 2.697852 -4.025595
11 40226.2211370313 -2.392211 -3.534061
75 32955.4715135913 0.569178 -3.158304
83 12152.0301874175 1.599177 -3.235796
166 2552.3733246541 -2.538885 -3.387086
232 403.8507685060 -2.654386 -3.358408
241 205.7447600451 -0.385019 -3.352474
531 95.6071827175 3.700664 -3.347904
734 30.8237461696 -2.627704 -3.343091
1000 7185397.4730513636 3.801793 -0.777541
evaluations raw_y x0 x1
1 473777.8360096678 -0.608829 -2.435466
8 261310.0287534633 -0.738276 -3.608843
13 11588.8952024815 -1.834965 -3.193506
28 5091.6591719562 0.759433 -3.163454
152 360.6376719019 1.518457 -3.103699
169 242.5501167456 0.056313 -3.069003
1000 8000713.8576931879 -0.032680 -0.282129
